CodeMixed_Arabic,pr_ar,cat_ar,CodeMixed_English,pr_en,cat_en,GroundTruth_Arabic,GroundTruth_English
"إنت على مسافة
one cigarette
من الموت.",0.7142857143,Arabic 67–100%,"You're just
على مسافة سيجارة واحدة
from
الموت.",0.375,English 34–66%,أنت على مسافة سيجارة واحدة من الموت,One more cigarette could kill you.
"أنا عرفت إنك كنت في الـ
campus
النهاردة.",0.875,Arabic 67–100%,"I heard
إنك كنت في الجامعة النهاردة.
Is that really true, Refaat?",0.5833333333,English 34–66%,أنا عرفت إنك كنت في الجامعة النهاردة,"I heard that you were on campus today. Is that really true, Refaat?"
"كان في
heavy
، تقل ضخم على صدري.",0.875,Arabic 67–100%,"There was
تقل، تقل ضخم
on my chest.",0.625,English 34–66%,كإن في تقل، تقل ضخم على صدري,There was a heaviness on my chest.
"كنت بجري وحاسس إن الـ
pressure
على صدري بيزيد أكتر فـ أكتر لحد ما وصلت لـ الـ
key
وسمعت.",0.8947368421,Arabic 67–100%,"I was running
وحسيت إن الـ
pressure
على صدري بيزيد
until
وصلت للمفتاح وسمعت.",0.3571428571,English 34–66%,كنت بجري وحاسس إن صدري بيتضغط عليه أكتر فاكتر لحد ما وصلت للمفتاح وسمعت,I was running and felt the pressure on my chest increasing until I reached the key and heard.
"أنا حياتي كانت
all in order
لحد ما إنتِ رجعتي فيها
again.",0.6666666667,Arabic 67–100%,"Everything in my life
كان مترتب لحد ما إنتِ رجعتي فيها تاني.",0.3333333333,English 34–66%,أنا حياتي كانت مترتبة لحد ما أنت رجعتي فيها تاني,Everything in my life was in perfect order until you came ...
"أنت كان عندك وجهة نظر إننا ما نقدرش نبقى مع بعض،
you had a point.",0.7333333333,Arabic 67–100%,"I see now
إنك كان عندك وجهة نظر لما قلت إننا مابنفعش نبقى مع بعض.",0.2,English 0–33%,أنت كان عندك وجهة نظر إننا ماتبقاش مع بعض,I see now that you had a point when you said the two of us would never work out.
"أنا
basically
هفترض إني
slapped you at some point.",0.3333333333,Arabic 34–66%,"I assumed
ما أنا كده كده هديك بضهر إيدي.",0.2222222222,English 0–33%,ما أنا كده كده هديك بضهر إيدي,I assumed that I slapped you at some point
"اللي حضرتك حكيت لي عليه في الـ
phone
ده يشبه حاجة كده، هي اسمها
strange
شوية.",0.875,Arabic 67–100%,"What you described
لي على الـ تليفون
is similar to
حاجة كده، اسمها غريب شوية.",0.4,English 34–66%,اللي حضرتك حكيت لي عليه في التليفون ده يشبه حاجة كده، هي اسمها غريب شوية,What you describe to me over the phone is similar to something you may have heard before.
"الجاثوم ده يا دكتور هو
mythical creature
وله أوصاف مختلفة.",0.8,Arabic 67–100%,"The Incubus
ده يا دكتور
is a
كائن خرافي له
different forms.",0.5,English 34–66%,الجاثوم ده يا دكتور هو كائن خرافي له أوصاف مختلفة,The Incubus is a mythical creature that can take many different forms.
"طب ما أنت الـ
thesis
بتاعك فعلاً فيه
myths
أهو.",0.8,Arabic 67–100%,"Turns out
ماجستيرك فيه فعلاً أساطير.",0.3333333333,English 34–66%,طب ما أنت ماجستيرك دخله أساطير أهو,Turns out your thesis does involve myths.
"فبالتالي لو صحيت من النوم ولقيت في
footprints
في كل حتة، فده معناه إنه يعني...",0.9333333333,Arabic 67–100%,"If you wake up
من النوم وتلاقي آثار أقدام
everywhere
،
then
ده معناه كده...",0.4,English 34–66%,فبالتالي لو صحيت من النوم ولقيت في آثار أقدام، فده معناه إنه يعني,"If you wake up and find footprints all over the place, then that would mean that."
"أنت ماجستيرك دخله
myths
وبعدين دخله
cooking tips.",0.625,Arabic 34–66%,"So now your thesis
دخله أساطير
and cooking tips.",0.7777777778,English 67–100%,أنت ماجستيرك دخله أساطير وبعدين دخله كتب طبخ,So now your thesis includes myths and cooking tips.
"طب ما كنت أروح أعمل
consult
مع خالتي، عشان أكون
safe.",0.8181818182,Arabic 67–100%,"Maybe I should
أستشير خالتي
just to be
افضل.",0.6666666667,English 67–100%,طب ما كنت أروح استشير خالتي، افضل,Maybe I should consult one of my aunts to be safe.
"أنا عارفة إنك كنت مع
Rifaat
في الـ
trip
بتاعت ليبيا.",0.8181818182,Arabic 67–100%,"I know
إنك كنت مع رفعت في
Libya trip.",0.4444444444,English 34–66%,أنا عارفة إن أنت كنت مع رفعت في سفرية ليبيا,I know that you were in Libya together.
"أنا رفعت قالي إنك
sent for
الدوا ده من
abroad.",0.7,Arabic 67–100%,"Refaat told me
إنك بعت جبت الدوا ده من برا.",0.3,English 0–33%,أنا رفعت قالي إن هو بعت جاب الدوا ده من بلاد برا,Refaat told me that you sent abroad for the medicine.
"أنتِ عارفة
Raafat
بيقول عكس اللي في
his mind.",0.6666666667,Arabic 67–100%,"You know
رفعت
never says what's
فعلاً في دماغه.",0.5555555556,English 34–66%,أنت عارفة رفعت بيقول عكس اللي في دماغه,"You know, he never liked for anyone to understand what he was thinking."
"رشيت دقيق، صحيت لقيت آثار
foot prints
حد تاني.",0.7777777778,Arabic 67–100%,"I used
الدقيق
and woke up
لقيت آثار رجلين حد تاني.",0.4545454545,English 34–66%,رشيت دقيق، صحيت لقيت آثار رجلين حد تاني,I used the flour and woke up to a bunch of strange footprints.
"أرش إيه تاني علشان أفهم
what's going on
؟",0.6666666667,Arabic 67–100%,"Is there anything else I can
أرش علشان أفهم اللي بيحصل؟",0.5454545455,English 34–66%,أرش إيه تاني علشان أفهم اللي بيحصل؟,Is there anything else I can sprinkle to get some answers?
"من يقبض الـ
incubus
روحه في المنام، يموت في الحقيقة.",0.9,Arabic 67–100%,"Whoever
الـ
incubus kills
روحه في الحلم،
dies in
الحقيقة.",0.5,English 34–66%,من يقبض الجاثوم روحه في المنام، يموت في الحقيقة,Whoever is killed by an incubus in a dream dies in real life
"القطة ماتت في
the same night
يا كمال.",0.625,Arabic 34–66%,"The cat died
في نفس الليلة يا
Kamal.",0.5,English 34–66%,القطة ماتت في نفس الليلة يا كمال,"The cat died on the same night, Kamal."
"ده أهم
reference
يا دكتور عن ...",0.7142857143,Arabic 67–100%,"This is the
أهم مرجع يا
doctor
عن ...",0.4444444444,English 34–66%,ده أهم مرجع يا دكتور عن ...,This is the most important reference on ...
"أنا جايلك علشان تساعدني مش علشان
kill me.",0.75,Arabic 67–100%,"I came to you
علشان تساعدني مش علشان تموتني.",0.4444444444,English 34–66%,أنا جايلك علشان تساعدني مش علشان تموتني,"I came to you so you could help me, not kill me."
"ولو إن
killing me
ممكن يكون أحسن مساعدة ممكن تقدمهالي دلوقتي.",0.8181818182,Arabic 67–100%,"Although
، لو قتلتني ده ممكن يكون فعلاً الـ
help
اللي أنا محتاجه.",0.1538461538,English 0–33%,ولو إن دي أحسن مساعدة ممكن تقدمهالي دلوقتي,"Although, killing me might be exactly the help I need."
"هل قابلتك أي
case
في أبحاثك فيها الـ
dream
بيخرج للـ
real world
؟",0.7142857143,Arabic 67–100%,"Have you encountered
أي حالات في أبحاثك
where
الحلم
enters the real world?",0.6153846154,English 34–66%,هل قابلتك أي حالة في أبحاثك فيها الحلم بيخرج للواقع؟,Have you encountered any cases in your research where a dream enters the real world?
"لقيت هنا إن الحل الوحيد لـ
getting the Incubus out
من الأحلام هو الـ
death.",0.6666666667,Arabic 67–100%,"It says
إن الـ
death
هو
the only way to
تخرج الجاثوم من الـ
dreams.",0.5333333333,English 34–66%,لقيت هنا إن الحل الوحيد لخروج الجاثوم من الأحلام هو القتل,It says death is the only way to get the Incubus out of your dreams.
"يوم طويل. حسيت إنه
really a long day
من أحداثه.",0.6,Arabic 34–66%,"Felt like
يوم طويل من أحداثه.",0.3333333333,English 34–66%,يوم طويل. حسيت إنه طويل من أحداثه,Felt like a long day
"يمكن من شعوري بـ الـ
pain
في نهاية الحلم.",0.8888888889,Arabic 67–100%,"Maybe
بسبب الـ
pain
اللي حسيت بيه في الحلم.",0.2222222222,English 0–33%,يمكن من شعوري بالألم في نهاية الحلم,Maybe due to the pain I felt in the dream
"الست مابتـحبش الراجل عشان
his looks
أو
his power
، لكن بسبب
his weakness
و
his strength.",0.5294117647,Arabic 34–66%,"The woman doesn’t love
الراجل علشان جبروته أو شكله،
but for
ضعفه وقوته.",0.4615384615,English 34–66%,الست مابتحبش الراجل علشان جبروته أو شكله لكن ضعفه وقوته,The woman who loves her man just because of his strength
"هو أنا طايق الـ
conscious mind
بتاعي لما هأفك شفرات الـ
subconscious
؟",0.7692307692,Arabic 67–100%,"I can barely stand
الـ وعي بتاعي.
Now,
لازم أفك شفرات الـ لاوعي؟",0.3846153846,English 34–66%,هو أنا طايق الوعي بتاعي لما هأفك شفرات اللاوعي؟,"I can barely stand my conscious mind. Now, I have to decipher my subconscious?"
"أنا في آخر الـ
dream
كنت بأقع من مكان عالي جداً.",0.9090909091,Arabic 67–100%,"At the end
، كنت بأقع
from
مكان عالي جداً.",0.4,English 34–66%,أنا أخر الحلم كنت بأقع من مكان عالي جدا,"In the end, I fell from a great height."
"كده يا دكتور احنا ماقدمناش غير
one option.",0.75,Arabic 67–100%,"Doctor,
احنا ماعندناش غير حل واحد.",0.1666666667,English 0–33%,كده يا دكتور احنا ماقدمناش غير حل واحد,"Doctor, we have one last option."
"وحتى الـ
bruise
دي، حضرتك ممكن تكون
bumped
نفسك.",0.7777777778,Arabic 67–100%,"And that
الكدمة,
maybe you just
خبطت
yourself.",0.75,English 67–100%,وحتى الكدمة دي، حضرتك ممكن تكون خبطت نفسك,"And that bruise, maybe you just bumped into something."
"أنا فاهم كل الـ
symbol
وكل
sign
شوفتها في الحلم.",0.8,Arabic 67–100%,"I know
كل إشارة وكل رمز شوفتهم
in my dream.",0.5,English 34–66%,أنا فاهم كل رمز وكل إشارة شوفتها في الحلم,I know every sign and symbol in my dreams.
"الموضوع برضه بياخد
time
يا دكتور.",0.8333333333,Arabic 67–100%,"It’s something
برضه بياخد وقت يا
doctor.",0.4285714286,English 34–66%,ما هو برضه الموضوع بياخد وقت يا دكتور,"It is something that takes time, doctor."
"كل اللي شوفته كان
my fears
، شعوري بالـ
guilt
، والمتاهة.",0.75,Arabic 67–100%,"All I saw
كانوا مخاوفي،
guilt
، والمتاهة.",0.5,English 34–66%,كل اللي شوفته كان مخاوفي، شعوري بالذنب، المتاهة,"All I saw were my fears, guilt, and the maze."
"لغاية مابقيت أنا الـ
mouse
اللي جوة الـ
maze.",0.7777777778,Arabic 67–100%,"Until I became
الفار اللي جوة المتاهة.",0.4285714286,English 34–66%,لغاية مابقيت أنا الفار اللي جوة المتاهةً,Until I became the mouse trapped inside.
"مش ضروري يكون ده الـ
explanation
الوحيد للـ
maze
يا دكتور.",0.8181818182,Arabic 67–100%,"There could be another
تفسير للـ
maze
يا دكتور.",0.5555555556,English 34–66%,مش ضروري يكون ده التفسير الوحيد للمتاهة يا دكتور,"There could be another explanation for the maze, doctor."
"واحد تاني بالنسبة له هي ممكن ترمز لـ
romance.",0.8888888889,Arabic 67–100%,"For another,
هي رمز لـ
romance.",0.5,English 34–66%,واحد تاني بالنسبة له هي ممكن ترمز للرومانسية,"For another, it is a symbol of romance."
"مش جايز الـ
maze
دي يكون ليها
special meaning
في عقلك الباطن؟",0.75,Arabic 67–100%,"This maze
يمكن يكون ليها معنى خاص في عقلك الباطن؟",0.2,English 0–33%,مش جايز المتاهة دي يكون ليها معنى خاص في عقلك الباطن؟,This maze may have a special meaning in your subconscious.
"طيب، ممكن حضرتك تفهمني
you will stay awake
لحد إمتى؟",0.6,Arabic 34–66%,"How much longer
ممكن تفضل صاحي كده؟",0.4285714286,English 34–66%,طيب، ممكن حضرتك تفهمني حتفضل صاحي كده لحد إمتى؟,How much longer can you stay awake?
"إمشي حالا بدل ما أفرغ الـ
shotgun
كلها فيك.",0.8888888889,Arabic 67–100%,"Get out of here
قبل ما أفرغ البندقية كلها فيك.",0.4,English 34–66%,إمشي حالا بدل ما أفرغ البندقية كلها فيك,Get out of here! Go before I empty this shotgun into you.
"لكِن المرة دي،
I really need you
تبقي سامعاني أكتر من
any other time.",0.5,Arabic 34–66%,"This time
، أكتر مرة
I need
ك تبقي سامعاني فيها.",0.3636363636,English 34–66%,لكن المرة دي، أكتر مرة محتاجك تبقي سامعاني فيها,"But this time, I need you to hear me now more than ever."
"إزاي هأخرج من الـ
maze
اللي أنا فيها دي
for good
؟",0.75,Arabic 67–100%,"How can I get out of
المتاهة دي
for good?",0.8,English 67–100%,إزاي هأخرج من المتاهة اللي أنا فيها دي,And get me out of this maze for good.
"أنا رحت لحد البيت، وقعدت أخبط كتير ومفيش حد
answered.",0.9,Arabic 67–100%,"I went all the way
لحد البيت، وخبطت كتير ومحدش
opened.",0.5454545455,English 34–66%,أنا رحت لحد البيت، قعدت أخبط كتير ومحدش فتح,"I knocked and knocked at his house, but no one answered the door."
"لأ، وأنت فالح أوي يا
bro.
بتعرف تتصرف.",0.875,Arabic 67–100%,"Sure, like you
فالح أوي يا خويا.
You
بتعرف تتصرف.",0.4,English 34–66%,لأ وأنت فالح أوي يا خويا. بتعرف تتصرف,"Sure, like you know how to handle anything."
"قلة النوم ممكن يؤدي إلى
auditory
و
visual hallucinations
وكمان اضطراب في الـ
senses.",0.7142857143,Arabic 67–100%,"Sleep deprivation
ممكن يسبب هلاوس سمعية وبصرية و اضطراب في الحواس.",0.1818181818,English 0–33%,قلة النوم قد تؤدي إلى هلاوس سمعية وبصرية واضطراب في الحواس,Sleep deprivation can lead to visual and auditory hallucinations and sensory processing disorders.
"أنت محتاج الحاجات دي كلها
for what, ya doctor?",0.5555555556,Arabic 34–66%,"Say,
إنت محتاج الحاجات دي كلها ليه,
doctor?",0.25,English 0–33%,أنت محتاج الحاجات دي كلاتها في إيه يا دكتور؟,"Say, what do you need all that for, anyway, doctor?"
"لو عقلك
plays tricks on you
، خده على قد عقله.",0.6363636364,Arabic 34–66%,"If your mind
لاعبك، خده على قد عقله.",0.375,English 34–66%,لو عقلك لاعبك، خده على قد عقله,"If your mind plays tricks on you, play along."
"شنق نفسه وكتب لك الـ
house
باسمك يا دكتور.",0.8888888889,Arabic 67–100%,"He hung
نفسه وكتب البيت باسمك,
doctor.",0.4285714286,English 34–66%,شنق نفسه وكتب لك البيت باسمك يا دكتور,Hung himself and left the hour for you.
"ايه اللي فرحانين وعمال
sniff
فيهم، شمني شمني، انا حاطة ايه؟",0.9090909091,Arabic 67–100%,"I mean
،
they're forcing him
يشم فيهم عشان ي
guess
ايه الـ
perfume
بتاعهم.",0.4666666667,English 34–66%,ايه اللي فرحانين وعمال يشم فيهم، شمني شمني، انا حاطة ايه؟,"I mean, they're forcing him to sniff them so he can guess what their perfume is."
"يا شيخة ده الـ
marriage
ده صعب اوي,
seriously.",0.7777777778,Arabic 67–100%,"That's what you get for
الـ جواز ده,
it's really
صعب.",0.6363636364,English 34–66%,يا شيخة ده الجواز ده صعب اوي بجد.,That's what you get for getting married.
"علا عبد الصبور بتشتم وتـ
criticize
في الجواز؟",0.875,Arabic 67–100%,"Ola Abdel Sabour is actually
بتشتم وتسب في
marriage?",0.6666666667,English 67–100%,علا عبد الصبور بتشتم وتسب في الجواز؟,Ola Abdel Sabour is actually criticizing marriage?
"طب بالمناسبة الـ
happy occasion
دي، مش ان الاوان
it's about time
؟",0.6153846154,Arabic 34–66%,"Actually,
بالمناسبة السعيدة دي,
don't you think
ان الاوان بقى؟",0.4,English 34–66%,طب بالمناسبة السعيدة دي مش ان الاوان بقى؟,"Actually, while we're on the subject, don't you think it's about time?"
"يعني متهيألي شهور الـ
grieving period
خلصت خلاص، ملكيش أي
excuse.",0.7272727273,Arabic 67–100%,"I mean
متهيألي شهور العدة
are over
، يعني خلاص ملكيش حجة.",0.3333333333,English 34–66%,يعني متهيألي شهور العدة خلصت خلاص ملكيش اي حجة.,"I mean, your grieving period is over, so now that's out of the way."
وسليم قصدي سليم بقى كويس الحمد لله.,1,Arabic 67–100%,"And Selim, I mean Salim, is all better now.",1,English 67–100%,وسليم قصدي سليم بقى كويس الحمد لله.,"And Selim, I mean Salim, is all better now."
"وانتي فاكرة إن الـ
divorce
هنا يعني
freedom
للطرفين؟",0.7777777778,Arabic 67–100%,"Do you think
الطلاق هنا
means equal freedom
للطرفين؟",0.6666666667,English 67–100%,وانتي فاكرة ان الطلاق هنا حرية للطرفين؟,Do you think divorce in our society means equal freedom for both parties?
"بالنسبة للرجالة
divorce
يعني
freedom
، بالنسبة للستات حبس انفرادي.",0.8,Arabic 67–100%,"Divorce
يعني للرجالة حرية، بالنسبة للستات
it's
حبس انفرادي.",0.2222222222,English 0–33%,بالنسبة للرجالة افراج، بالنسبة للستات حبس انفرادي.,Divorce means freedom for men and solitary confinement for women!
"الحمد لله إن ماما مش
here
، مسمعتكيش.",0.875,Arabic 67–100%,"If
ماما
heard you say that,
كانت هتـ
kill us both.",0.7272727273,English 67–100%,الحمد الله ان ماما مش هنا مسمعتكيش,"If my Mom heard you say that, she'd kill both of us."
"هي لسة متعرفش إن احنا عملنا الـ
campaign
كله
based on
صورتها.",0.75,Arabic 67–100%,"She still doesn't know
إننا استخدمنا الصورة بتاعتها
for the whole campaign.",0.6666666667,English 67–100%,هي لسة متعرفش ان احنا بنستعمل الصورة.,She still doesn't know we created the whole campaign based on her picture.
"يعني انتي فاكرة ان
Soheir
مش هتعرف انك عملتي كدا؟",0.9,Arabic 67–100%,"Do you actually think
سهير مش هتكتشف انك عملتي كدا؟",0.4,English 34–66%,يعني انتي فاكرة ان سهير مش هتعرف انك عملتي كدا؟,Do you actually think Soheir's not gonna find out about this?
"زمانها قاعدة مستنياكي في البيت ومعاها الـ
rope
وبالـ
prison jumpsuit
،
ready to kill you.",0.5625,Arabic 34–66%,"I bet she's at home
ومستنياكي بالـ
rope and
الـ بدلة الحمرة، لحد ما انتي تيجي.",0.4375,English 34–66%,زمانها قاعدة مستنياكي في البيت معلقالك الحبل وبالبدلة الحمرة لحد ما انتي تيجي.,"I bet she's at home with a rope and a prison jumpsuit, ready to kill you."
"بس يعني بحكم خبرتي في الـ
field
دوت عايز أقولك إن الـ
perfume
اللي انتي حطاه مش مناسب لـ
pigment
بتاع بشرتك.",0.8636363636,Arabic 67–100%,"As an expert in
الـ مجال دوت,
I can say
إن الـ
perfume
اللي انتي حطاه مش
the best fit for
بشرتك'
s natural pigments.",0.6,English 34–66%,بس يعني بحكم خبرتي في المجال دوت عايز اقولك ان البارفان الي انتي حطاه مش مناسب للصبغة بتاعة بشرتك,"But as an expert in this field, I can say that this perfume you're wearing is not the best fit for your skin's natural pigments."
"عارفة قناتك طبعا وعارفة الـ
content
اللي بتقدميه على قناتك
is really
جميل.",0.7692307692,Arabic 67–100%,"I'm very familiar with
قناتك
and the
المحتوى اللي بتقدميه
there is really fantastic.",0.7142857143,English 67–100%,وعارفة قناتك طبعا وعارفة المحتوى اللي بتقدميه على قناتك جميل,I'm very familiar with your channel and the fantastic content you present.
"ما يمنعش إن أنا دلوقتي
I know her
وبحبها قوي.",0.7,Arabic 67–100%,"Still, I
دلوقتي
know who she is
وبحبها أوي.",0.6666666667,English 67–100%,ما يمنعش ان انا دلوقتي عرفتها وبحبها اوي.,"Still, I know who she is now, and I really like her."
"ازاي عمري ما سمعت عنها
before
الـ بنت دي.",0.8888888889,Arabic 67–100%,"How come I never
سمعت عنها قبل كدا الـ بنت دي؟",0.3636363636,English 34–66%,ازاي عمري ما سمعت عنها قبل كدا البنت دي,How come I never heard of her before?
"متحمسة اوي اوريكوا النهاردة جبت ايه من الـ
Christmas bazaar.",0.8,Arabic 67–100%,"I can't wait
اوريكوا النهاردة جبت ايه من الكريسماس بازار.",0.3,English 0–33%,متحمسة اوي اوريكوا النهاردة جبت ايه من الكريسماس بازار,I can't wait to show you what I brought from the Christmas bazaar!
"انتو أكيد مظبطينها مع بعض
and
مش قايلين.",0.875,Arabic 67–100%,"I bet
انتو كنتوا عارفين
about this
ومقلتش حاجة!",0.4444444444,English 34–66%,طبعا ما انتو مظبطينها مع بعض ومش قايلين.,"I bet you knew about this, and you haven't said!"
"هي كل الـ
boys
اللي في سنك كدا ولا انت بس؟",0.9090909091,Arabic 67–100%,"Are all
الولاد
your age like this
ولا انت بس؟",0.6,English 34–66%,هي كل الولاد اللي في سنك كدا ولا انت بس؟,"Are all boys your age like this, or is it just you?"
"انا قلبي كان حاسس انك كنت
seeing
واحدة تانية من واحنا
married.",0.8333333333,Arabic 67–100%,"I felt
انك كنت شايف واحدة تانية من واحنا متجوزين.",0.2,English 0–33%,انا قلبي كان حاسس ان انت كنت شايفلك شوفة من واحنا متجوزين,I felt you were seeing another woman while we were still married!
"وبعدين يا حبيبتي يعني اكيد مش هقضي
the rest of my life
لوحدي.",0.6153846154,Arabic 34–66%,"Besides,
يا حبيبتي,
you can't expect me
أعيش لوحدي طول عمري.",0.4545454545,English 34–66%,وبعدين يا حبيبتي يعني اكيد مش هقضي طول عمري لوحدي.,"Besides, sweetie, you can't expect me to spend the rest of my life alone."
"بس كان لازم أتأكد من الـ
relationship
الأول عشان أقولك.",0.9,Arabic 67–100%,"But I had to make sure
الـ علاقة كانت
serious before I told you.",0.7857142857,English 67–100%,بس كان لازم اتأكد من العلاقة الاول عشان اقولك.,But I had to make sure it was serious before telling you about it.
"مش اول واحدة كدا اخرج معاها مرة او مرتين يعني اعرفك عليها،
it's not gonna work.",0.75,Arabic 67–100%,"I can't introduce you to
كل واحدة اخرج معاها، مش هينفع كدا.",0.4166666667,English 34–66%,مش اول واحدة كدا اخرج معاها مرة او مرتين يعني اعرفك عليها، مش هينفع.,I can't introduce you to every single woman I go out with. That's not how it works.
"تخيلوا بقى لو أنا اللي بقول الكلام ده قدام
my mother
وبنتي؟",0.8333333333,Arabic 67–100%,"Imagine if I was standing in front of
أمي
and
بنتي
saying these things?",0.8571428571,English 67–100%,تخيلوا بقى لو انا اللي بقول الكلام ده قدام امي وبنتي؟,Imagine if I was standing in front of my mother and daughter saying these things.
"كانوا يقطعوني حتت ويرموني للـ
street dogs as an example
للبنات التانية.",0.5833333333,Arabic 34–66%,"They would cut me
حتت
and feed me to
كلاب السكك
as
عبرة للستات التانية.",0.6,English 34–66%,كانوا قطعوني حتت ورموني لكلاب السكك عبرة لمن تعتبر.,They would cut me into pieces and feed me to the dogs as an example to other women.
"والله ما كنت عارف إنك موجودة
there.",0.8571428571,Arabic 67–100%,"I swear
ما كنتش عارف إنك
there.",0.4285714286,English 34–66%,والله ما كنت عارف انك موجودة هناك.,"I swear, I had no way of predicting this."
"انت بجد
textbook example
لـ واحد داخل في
mid-life crisis.",0.6,Arabic 34–66%,"You're literally
بتنفس كتاب ازمة منتصف العمر بحذافيره.",0.25,English 0–33%,انت بجد بتنفذ كتاب ازمة منتصف العمر بحذافيره.,You're a textbook example of a man going through a mid-life crisis.
"هي وبعدين ملهاش أي علاقة بـ
what happened
بينا احنا الاتنين.",0.8181818182,Arabic 67–100%,"And she has nothing to do
باللي حصل
between us.",0.8,English 67–100%,وبعدين ملهاش اي علاقة باللي حصل بينا احنا الاتنين.,And she has nothing to do with what happened between us.
"بدل ما تقعدي تبسبسيلي كدا،
why don’t you take action
انتي كمان يا ماما.",0.6428571429,Arabic 34–66%,"Instead of
تقعدي تبسبسيلي كدا, ليه متعمليش حاجة
about it
يا ماما?",0.3333333333,English 34–66%,بدل ما تقعدي تبسبسيلي كدا، كيديه انتي كمان يا ماما.,"Instead of telling me to drop it, why don't you do something about it?"
"واجيبه منين ده بقى
honestly
إن شاء الله اذا كانت حياتي كلها
work
و عيال اليومين دول؟",0.8823529412,Arabic 67–100%,"Where am I supposed to find
واحد ان شاء الله
if my whole life is
شغل وعيال
these days?",0.6842105263,English 67–100%,واجيبه منين ده بقى ان شاء الله اذا كانت حياتي كلها شغل و عيال اليومين دول؟,Where exactly am I supposed to find a man when my life is only about work and kids?
